Date/Time,Power Produced (W)
2019-08-26 00:40:00 -0700,0
2019-08-26 00:45:00 -0700,0
2019-08-26 00:50:00 -0700,0
2019-08-26 00:55:00 -0700,0
2019-08-26 01:00:00 -0700,0
2019-08-26 01:05:00 -0700,0
2019-08-26 01:10:00 -0700,0
2019-08-26 01:15:00 -0700,0
2019-08-26 01:20:00 -0700,0
2019-08-26 01:25:00 -0700,0
2019-08-26 01:30:00 -0700,0
2019-08-26 01:35:00 -0700,0
2019-08-26 01:40:00 -0700,0
2019-08-26 01:45:00 -0700,0
2019-08-26 01:50:00 -0700,0
2019-08-26 01:55:00 -0700,0
2019-08-26 02:00:00 -0700,0
2019-08-26 02:05:00 -0700,0
2019-08-26 02:10:00 -0700,0
2019-08-26 02:15:00 -0700,0
2019-08-26 02:20:00 -0700,0
2019-08-26 02:25:00 -0700,0
2019-08-26 02:30:00 -0700,0
2019-08-26 02:35:00 -0700,0
2019-08-26 02:40:00 -0700,0
2019-08-26 02:45:00 -0700,0
2019-08-26 02:50:00 -0700,0
2019-08-26 02:55:00 -0700,0
2019-08-26 03:00:00 -0700,0
2019-08-26 03:05:00 -0700,0
2019-08-26 03:10:00 -0700,0
2019-08-26 03:15:00 -0700,0
2019-08-26 03:20:00 -0700,0
2019-08-26 03:25:00 -0700,0
2019-08-26 03:30:00 -0700,0
2019-08-26 03:35:00 -0700,0
2019-08-26 03:40:00 -0700,0
2019-08-26 03:45:00 -0700,0
2019-08-26 03:50:00 -0700,0
2019-08-26 03:55:00 -0700,0
2019-08-26 04:00:00 -0700,0
2019-08-26 04:05:00 -0700,0
2019-08-26 04:10:00 -0700,0
2019-08-26 04:15:00 -0700,0
2019-08-26 04:20:00 -0700,0
2019-08-26 04:25:00 -0700,0
2019-08-26 04:30:00 -0700,0
2019-08-26 04:35:00 -0700,0
2019-08-26 04:40:00 -0700,0
2019-08-26 04:45:00 -0700,0
2019-08-26 04:50:00 -0700,0
2019-08-26 04:55:00 -0700,0
2019-08-26 05:00:00 -0700,0
2019-08-26 05:05:00 -0700,0
2019-08-26 05:10:00 -0700,0
2019-08-26 05:15:00 -0700,0
2019-08-26 05:20:00 -0700,0
2019-08-26 05:25:00 -0700,0
2019-08-26 05:30:00 -0700,0
2019-08-26 05:35:00 -0700,0
2019-08-26 05:40:00 -0700,0
2019-08-26 05:45:00 -0700,0
2019-08-26 05:50:00 -0700,0
2019-08-26 05:55:00 -0700,0
2019-08-26 06:00:00 -0700,0
2019-08-26 06:05:00 -0700,0
2019-08-26 06:10:00 -0700,0
2019-08-26 06:15:00 -0700,0
2019-08-26 06:20:00 -0700,0
2019-08-26 06:25:00 -0700,0
2019-08-26 06:30:00 -0700,0
2019-08-26 06:35:00 -0700,0
2019-08-26 06:40:00 -0700,7
2019-08-26 06:45:00 -0700,8
2019-08-26 06:50:00 -0700,8
2019-08-26 06:55:00 -0700,8
2019-08-26 07:00:00 -0700,8
2019-08-26 07:05:00 -0700,19
2019-08-26 07:10:00 -0700,66
2019-08-26 07:15:00 -0700,66
2019-08-26 07:20:00 -0700,66
2019-08-26 07:25:00 -0700,66
2019-08-26 07:30:00 -0700,66
2019-08-26 07:35:00 -0700,103
2019-08-26 07:40:00 -0700,253
2019-08-26 07:45:00 -0700,253
2019-08-26 07:50:00 -0700,259
2019-08-26 07:55:00 -0700,364
2019-08-26 08:00:00 -0700,364
2019-08-26 08:05:00 -0700,334
2019-08-26 08:10:00 -0700,376
2019-08-26 08:15:00 -0700,376
2019-08-26 08:20:00 -0700,323
2019-08-26 08:25:00 -0700,317
2019-08-26 08:30:00 -0700,317
2019-08-26 08:35:00 -0700,278
2019-08-26 08:40:00 -0700,292
2019-08-26 08:45:00 -0700,292
2019-08-26 08:50:00 -0700,266
2019-08-26 08:55:00 -0700,310
2019-08-26 09:00:00 -0700,310
2019-08-26 09:05:00 -0700,291
2019-08-26 09:10:00 -0700,360
2019-08-26 09:15:00 -0700,360
2019-08-26 09:20:00 -0700,322
2019-08-26 09:25:00 -0700,354
2019-08-26 09:30:00 -0700,354
2019-08-26 09:35:00 -0700,321
2019-08-26 09:40:00 -0700,371
2019-08-26 09:45:00 -0700,371
2019-08-26 09:50:00 -0700,324
2019-08-26 09:55:00 -0700,312
2019-08-26 10:00:00 -0700,312
2019-08-26 10:05:00 -0700,280
2019-08-26 10:10:00 -0700,284
2019-08-26 10:15:00 -0700,284
2019-08-26 10:20:00 -0700,272
2019-08-26 10:25:00 -0700,328
2019-08-26 10:30:00 -0700,328
2019-08-26 10:35:00 -0700,331
2019-08-26 10:40:00 -0700,437
2019-08-26 10:45:00 -0700,437
2019-08-26 10:50:00 -0700,445
